State,Top Commodity 1,Value 1,Top Commodity 2,Value 2,Product 1,COMMODITY_2019,COMMODITY_2020,COMMODITY_2021
Andhra Pradesh,Engineering Goods,1495.16,Marine Products,342.89,Coir and Coir Products; Rice; Sugar; Frozen Shrimp,1901.33,2058.69,1780.37
Dadra And Nagar Haveli,Man-Made Yarn/Fabs./Madeups Etc.,418.37,Engineering Goods,403.13,Yarn; Fabrics; Pharmaceuticals; Cables; Rubber,996.64,1665.28,931.45
Gujarat,Gems And Jewellery,6872.54,Engineering Goods,1262.74,Textile; Banana; Surat Zari Craft; Pomegranate,2100.65,1340.47,2272.35
Haryana,Engineering Goods,1186.03,Rmg Of All Textiles,533.66,Home Furnishing & Engineering Goods,996.64,1665.28,931.45
Karnataka,Engineering Goods,1120.59,Electronic Goods,900.33,Processed Foods; Vegetables and Flowers; Engineering Goods,1418.38,1787.26,1100.70
Maharashtra,Engineering Goods,3528.83,Drugs And Pharmaceuticals,464.78,Purandhar Fig; Automobile and Engineering Goods,1514.43,3155.77,3686.59
Odisha,Engineering Goods,1949.61,Ceramic Products And Glassware,16.12,Aluminium; Products; Chilly; Ginger,2124.62,1403.44,2685.57
Rajasthan,Gems And Jewellery,419.24,Engineering Goods,243.95,Gems & Jewellery; Garments; Furniture; Services,2100.65,1340.47,2272.35
Tamil Nadu,Rmg Of All Textiles,1846.14,Cotton Yarn/Fabs./Madeups,178.14,Hosiery Garments & Apparels,323.52,298.67,247.75
Uttar Pradesh,Electronic Goods,1294.45,Engineering Goods,859.66,Readymade Garments; Basmati Rice; Meat; Electronics,1418.38,1787.26,1100.70
West Bengal,Gems And Jewellery,529.11,Engineering Goods,409.47,Lychee; Mango; Rice; Engineering Goods,2100.65,1340.47,2272.35